SWK,NAMA_TPS,INPUT,ANGKUT,DIOLAH,SISA,rasio_angkut,rasio_diolah,rasio_sisa,indeks_jarak,WBI,LABEL
UBERMANIK,TPS SUBANG,17.0,17.0,0.0,0.0,1.0,0.0,0.0,0.8242,0.2956,AMAN
KAREES,TPS SESKO AD,14.0,12.0,2.0,0.0,0.8571,0.1667,0.0,0.6813,0.2926,AMAN
UBERMANIK,TPS PASAR UJUNG BERUNG,29.0,28.5,0.0,0.5,0.9828,0.0,0.0172,0.7802,0.292,AMAN
KORDOBA,TIKUM CISARANTEN KIDUL 06 & 08,2.5714,2.5714,0.0,0.0,1.0,0.0,0.0,0.8132,0.2919,AMAN
UBERMANIK,TIKUM JATIHANDAP RW 13,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8132,0.2919,AMAN
UBERMANIK,TPS GADING REGENCY,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.8132,0.2919,AMAN
CIBEUNYING,TIKUM DIPATIUKUR,10.0,7.0,3.0,0.0,0.7,0.4286,0.0,0.5275,0.2904,AMAN
KAREES,TIKUM KEBON KANGKUNG,14.0,12.0,2.0,0.0,0.8571,0.1667,0.0,0.6703,0.2889,AMAN
KAREES,TPS SESKO TNI,14.0,12.0,2.0,0.0,0.8571,0.1667,0.0,0.6703,0.2889,AMAN
UBERMANIK,TPS CIBATU,20.0,20.0,0.0,0.0,1.0,0.0,0.0,0.8022,0.2882,AMAN
CIBEUNYING,TPS EKS DAGO GOLF,18.0,14.0,4.0,0.0,0.7778,0.2857,0.0,0.5934,0.2881,AMAN
KAREES,TIKUM PUTRACO,14.0,12.0,2.0,0.0,0.8571,0.1667,0.0,0.6593,0.2853,AMAN
KAREES,TIKUM HASAN SAPUTRA,14.0,12.0,2.0,0.0,0.8571,0.1667,0.0,0.6593,0.2853,AMAN
KORDOBA,TIKUM MARGAHAYU,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7912,0.2846,AMAN
KORDOBA,TPS BUANA SOETA,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7912,0.2846,AMAN
UBERMANIK,TIKUM SPA GEDEBAGE,35.0,35.0,0.0,0.0,1.0,0.0,0.0,0.7802,0.2809,AMAN
UBERMANIK,TPS CICUKANG,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.7802,0.2809,AMAN
UBERMANIK,TIKUM SUKA ASIH RW 07,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.7802,0.2809,AMAN
KORDOBA,TPS KOMP. KEADILAN 09,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.7802,0.2809,AMAN
UBERMANIK,TPS UJUNG BERUNG INDAH,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.7802,0.2809,AMAN
UBERMANIK,TPS GOLF,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.7802,0.2809,AMAN
UBERMANIK,TPS BANDUNG HILL,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.7692,0.2772,AMAN
UBERMANIK,TIKUM POOL PASIR IMPUN,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.7692,0.2772,AMAN
UBERMANIK,TPS PU BINAMARGA,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.7692,0.2772,AMAN
KORDOBA,TIKUM GRAND SHARON,5.1429,5.1429,0.0,0.0,1.0,0.0,0.0,0.7692,0.2772,AMAN
UBERMANIK,TIKUM ZIPUR 09,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.7692,0.2772,AMAN
KORDOBA,TIKUM WATES ,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7582,0.2736,AMAN
UBERMANIK,TPS RUSUNAWA CINGISED,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7582,0.2736,AMAN
UBERMANIK,TPS CINAMBO,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7582,0.2736,AMAN
KAREES,TIKUM PSM-PINDAD,13.0,12.0,1.0,0.0,0.9231,0.0833,0.0,0.6813,0.272,AMAN
KORDOBA,TIKUM SEKEJATI 05,2.5714,2.5714,0.0,0.0,1.0,0.0,0.0,0.7473,0.2699,AMAN
KORDOBA,TIKUM SEKEJATI 06,2.5714,2.5714,0.0,0.0,1.0,0.0,0.0,0.7473,0.2699,AMAN
CIBEUNYING,TPS TERMINAL LEDENG,2.2857,2.0,0.2857,0.0,0.875,0.1429,0.0,0.6264,0.2687,AMAN
BOJONEGARA,TIKUM KOMPLEK KPAD GERLONG,6.5,6.0,2.0,0.0,0.9231,0.3333,0.0,0.6703,0.2683,AMAN
KORDOBA,TIKUM CIPAMOKOLAN 07,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7363,0.2663,AMAN
KORDOBA,TIKUM CIPAMOKOLAN 09,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7363,0.2663,AMAN
KORDOBA,TIKUM CISARANTEN KIDUL 03 & 05,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7253,0.2626,AMAN
KORDOBA,TIKUM PALEM PERMAI,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7253,0.2626,AMAN
KAREES,TPS CIBANGKONG RW 06,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.7253,0.2626,AMAN
KAREES,TPS CIBANGKONG RW 10,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.7253,0.2626,AMAN
KORDOBA,TIKUM ARYA GRAHA,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7253,0.2626,AMAN
KAREES,TPS PT INTI,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.7143,0.2589,AMAN
KORDOBA,TIKUM KUJANGSARI 07,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7143,0.2589,AMAN
KORDOBA,TIKUM BHINEKAS,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7143,0.2589,AMAN
KORDOBA,TIKUM CIJAURA 13,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.7143,0.2589,AMAN
KORDOBA,TIKUM CISARANTEN KIDUL 11,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7143,0.2589,AMAN
CIBEUNYING,TPS TERMINAL DAGO,16.0,14.0,2.0,0.0,0.875,0.1429,0.0,0.5934,0.2577,AMAN
KORDOBA,TPS PERUM PU,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7033,0.2553,AMAN
KORDOBA,TIKUM MARGA ASRI 2&4,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.7033,0.2553,AMAN
BOJONEGARA,TPS CILIMUS,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.7033,0.2553,AMAN
CIBEUNYING,TPS CIKUTRA,30.0,28.0,2.0,0.0,0.9333,0.0714,0.0,0.6374,0.2541,AMAN
CIBEUNYING,TPS GUDANG SELATAN,8.0,7.0,1.0,0.0,0.875,0.1429,0.0,0.5824,0.254,AMAN
TEGALEGA,TIKUM CIBOLERANG RW 4 MARGAHAYU UTARA,0.9,0.8571,0.0,0.0429,0.9524,0.0,0.0476,0.6044,0.2531,AMAN
KORDOBA,TPS CIPAGALO,3.4,3.4286,0.0,0.0,1.0084,0.0,0.0,0.7033,0.2526,AMAN
KORDOBA,TIKUM MARGASARI 14,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.6923,0.2516,AMAN
KORDOBA,TPS MENGGER 01,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.6923,0.2516,AMAN
KORDOBA,TPS BEA CUKAI,1.7,1.7,0.0,0.0,1.0,0.0,0.0,0.6923,0.2516,AMAN
KORDOBA,TPS BATUNUNGGAL,3.4286,3.4286,0.0,0.0,1.0,0.0,0.0,0.6923,0.2516,AMAN
CIBEUNYING,TPS BABAKAN SILIWANGI,16.0,14.0,2.0,0.0,0.875,0.1429,0.0,0.5714,0.2504,AMAN
KORDOBA,TIKUM MARGASARI 09,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.6813,0.2479,AMAN
KORDOBA,TIKUM CIJAURA 08,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.6813,0.2479,AMAN
CIBEUNYING,TPS AMBON,32.0,28.0,4.0,0.0,0.875,0.1429,0.0,0.5604,0.2467,AMAN
TEGALEGA,TIKUM MEKARWANGI RW 8,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.6703,0.2443,AMAN
KORDOBA,TPS JAKAPURWA,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.6703,0.2443,AMAN
KORDOBA,TIKUM BATU INDAH,3.4286,3.4286,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
KORDOBA,TIKUM BATUNUNGGAL 11 12,5.1429,5.1429,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
TEGALEGA,TIKUM KOMPLEK MEKARWANGI RW 6,0.9,0.9,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
KORDOBA,TIKUM KOMP. PARAKAN 02,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
KORDOBA,TIKUM MARGASARI 01,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
TEGALEGA,TPS MEKARWANGI,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
KORDOBA,TIKUM MENGGER 04,0.8571,0.8571,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
KAREES,TIKUM BANTEN,12.0,12.0,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
CIBEUNYING,TPS LEDENG RW 06,14.0,14.0,2.0,0.0,1.0,0.1429,0.0,0.6593,0.2406,AMAN
KORDOBA,TPS ADHYAKSA,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.6593,0.2406,AMAN
BOJONEGARA,TIKUM BABAKAN CIANJUR,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.6484,0.237,AMAN
KORDOBA,TIKUM CIJAURA 02 & 03,1.7143,1.7143,0.0,0.0,1.0,0.0,0.0,0.6484,0.237,AMAN
KORDOBA,TIKUM BATUNUNGGAL 9 10,5.1429,5.1429,0.0,0.0,1.0,0.0,0.0,0.6484,0.237,AMAN
